idpicto,lemma,synset,synset2,relation,head,headrel,dependent,deprel,antonym,number,lemma_plural,disable
2239,abeille,fre-30-02206856-n,02209508-n,synonym,\N,\N,\N,\N,\N,\N,abeilles,\
2242,manteau,fre-30-03057021-n,03061006-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,manteau,fre-30-04187970-n,04195013-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,manteau,fre-30-03456665-n,03461607-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,pardessus,fre-30-03456665-n,03461607-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2242,pardessus,fre-30-03057021-n,03061006-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2242,pardessus,fre-30-04187970-n,04195013-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2243,grand-mère,fre-30-10142747-n,10162267-n,synonym,\N,\N,\N,\N,\N,\N,grands-mères,\
2243,mamie,fre-30-10142747-n,10162267-n,synonym,\N,\N,\N,\N,\N,\N,mamies,\
2244,grand-père,fre-30-10142391-n,10161911-n,synonym,\N,\N,\N,\N,\N,\N,grands-pères,\
2244,papi,fre-30-10142391-n,10161911-n,synonym,\N,\N,\N,\N,\N,\N,papis,\
2245,ennuyeux,fre-30-01345307-a,01348155-s,synonym,\N,\N,\N,\N,\N,\N,ennuyeux,\
2245,monotone,fre-30-01345307-a,01348155-s,synonym,\N,\N,\N,\N,\N,\N,monotones,\
2246,huile,fre-30-07673397-n,07689142-n,synonym,\N,\N,\N,\N,\N,\N,huiles,\
2246,huile,fre-30-07674508-n,07690253-n,synonym,\N,\N,\N,\N,\N,\N,huiles,\
2246,huile_d'olive,fre-30-07674508-n,07690253-n,synonym,\N,\N,\N,\N,\N,\N,huiles_d'olive,\
2246,huile_d'olive,fre-30-07673397-n,07689142-n,synonym,\N,\N,\N,\N,\N,\N,huiles_d'olive,\
2247,trottoir,fre-30-04215402-n,04222469-n,synonym,\N,\N,\N,\N,\N,\N,trottoirs,\
2248,eau,fre-30-07935504-n,07951744-n,synonym,\N,\N,\N,\N,\N,\N,eaux,\
2248,eau,fre-30-14845743-n,14869913-n,synonym,\N,\N,\N,\N,\N,\N,eaux,\
2249,carpette,fre-30-04118021-n,04125115-n,synonym,\N,\N,\N,\N,\N,\N,carpettes,\
2249,tapis,fre-30-04118021-n,04125115-n,synonym,\N,\N,\N,\N,\N,\N,tapis,\
2250,coussin,fre-30-03938244-n,03944520-n,synonym,\N,\N,\N,\N,\N,\N,coussins,\
2250,oreiller,fre-30-03938244-n,03944520-n,synonym,\N,\N,\N,\N,\N,\N,oreillers,\
2251,ambulance,fre-30-02701002-n,02703861-n,synonym,\N,\N,\N,\N,\N,\N,ambulances,\
2252,bague,fre-30-04092609-n,04099721-n,synonym,\N,\N,\N,\N,\N,\N,bagues,\
2253,antenne,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,antennes,\
2253,antenne_parabolique,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,antennes_paraboliques,\
2253,parabole,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,paraboles,\
2254,araignée,fre-30-01772222-n,01774863-n,synonym,\N,\N,\N,\N,\N,\N,araignées,\
2255,amis,fre-30-10112591-n,10132360-n,synonym,\N,\N,\N,\N,\N,\N,amis,\
2255,copains,fre-30-10112591-n,10132360-n,synonym,\N,\N,\N,\N,\N,\N,copains,\
2256,arbre,fre-30-13104059-n,13124818-n,synonym,\N,\N,\N,\N,\N,\N,arbres,\
2257,écureuil,fre-30-02355227-n,02357879-n,synonym,\N,\N,\N,\N,\N,\N,écureuils,\
2258,armoire,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,armoires,\
2258,penderie,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,penderies,\
2258,placard,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,placards,\
2259,riz_à_la_sauce_tomate,fre-30-07804323-n,07820299-n,synonym,\N,\N,\N,\N,\N,\N,riz_à_la_sauce_tomate,\
2259,riz_à_la_sauce_tomate,fre-30-07804657-n,07820633-n,synonym,\N,\N,\N,\N,\N,\N,riz_à_la_sauce_tomate,\
2259,riz_à_la_tomate,fre-30-07804657-n,07820633-n,synonym,\N,\N,\N,\N,\N,\N,riz_à_la_tomate,\
2259,riz_à_la_tomate,fre-30-07804323-n,07820299-n,synonym,\N,\N,\N,\N,\N,\N,riz_à_la_tomate,\
2260,ascenseur,fre-30-03281145-n,03286056-n,synonym,\N,\N,\N,\N,\N,\N,ascenseurs,\
2260,monte-charge,fre-30-03281145-n,03286056-n,synonym,\N,\N,\N,\N,\N,\N,monte-charges,\
2261,apeuré,fre-30-00080357-a,00080947-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2261,apeuré,fre-30-00079629-a,00080219-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2261,effrayé,fre-30-00079629-a,00080219-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2261,effrayé,fre-30-00080357-a,00080947-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2262,autocar,fre-30-02924116-n,02927500-n,synonym,\N,\N,\N,\N,\N,\N,autocars,\
2262,car,fre-30-02924116-n,02927500-n,synonym,\N,\N,\N,\N,\N,\N,cars,\
2263,autobus,fre-30-02924116-n,02927500-n,synonym,\N,\N,\N,\N,\N,\N,autobus,\
2264,avion,fre-30-02691156-n,02694015-n,synonym,\N,\N,\N,\N,\N,\N,avions,\
2264,avion,fre-30-03595860-n,03601053-n,synonym,\N,\N,\N,\N,\N,\N,avions,\
2264,avion,fre-30-02690373-n,02693232-n,synonym,\N,\N,\N,\N,\N,\N,avions,\
2264,avion,fre-30-02686568-n,02689427-n,synonym,\N,\N,\N,\N,\N,\N,avions,\
2265,sucrier,fre-30-04350581-n,04357659-n,synonym,\N,\N,\N,\N,\N,\N,sucriers,\
2266,sucrier_2,fre-30-04350581-n,04357659-n,synonym,\N,\N,\N,\N,\N,\N,sucriers,\
2267,bavoir,fre-30-02834295-n,02837500-n,synonym,\N,\N,\N,\N,\N,\N,bavoirs,\
2268,baleine,fre-30-02062744-n,02065397-n,synonym,\N,\N,\N,\N,\N,\N,baleines,\
2269,ballon,fre-30-04254680-n,04261790-n,synonym,\N,\N,\N,\N,\N,\N,ballons,\
2269,ballon,fre-30-02778669-n,02781674-n,synonym,\N,\N,\N,\N,\N,\N,ballons,\
2269,ballon_de_foot,fre-30-02778669-n,02781674-n,synonym,\N,\N,\N,\N,\N,\N,ballons_de_foot,\
2269,ballon_de_foot,fre-30-04254680-n,04261790-n,synonym,\N,\N,\N,\N,\N,\N,ballons_de_foot,\
2270,maillot_de_bain,fre-30-04371563-n,04378650-n,synonym,\N,\N,\N,\N,\N,\N,maillots_de_bain,\
2270,maillot_une_pièce,fre-30-04371563-n,04378650-n,synonym,\N,\N,\N,\N,\N,\N,maillots_une_pièce,\
2271,baigner,fre-30-00035603-v,00035596-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2271,prendre_un_bain,fre-30-00035603-v,00035596-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2271,se_baigner,fre-30-00035603-v,00035596-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2272,baignoire,fre-30-02808440-n,02811600-n,synonym,\N,\N,\N,\N,\N,\N,baignoires,\
2273,bateau,fre-30-04158807-n,04165868-n,synonym,\N,\N,\N,\N,\N,\N,bateaux,\
2273,bateau,fre-30-03673027-n,03678353-n,synonym,\N,\N,\N,\N,\N,\N,bateaux,\
2273,bateau,fre-30-02858304-n,02861626-n,synonym,\N,\N,\N,\N,\N,\N,bateaux,\
2273,paquebot,fre-30-02858304-n,02861626-n,synonym,\N,\N,\N,\N,\N,\N,paquebots,\
2273,paquebot,fre-30-04158807-n,04165868-n,synonym,\N,\N,\N,\N,\N,\N,paquebots,\
2273,paquebot,fre-30-03673027-n,03678353-n,synonym,\N,\N,\N,\N,\N,\N,paquebots,\
2274,batteur,fre-30-03775199-n,03780732-n,synonym,\N,\N,\N,\N,\N,\N,batteurs,\
2274,batteur,fre-30-03272940-n,03277851-n,synonym,\N,\N,\N,\N,\N,\N,batteurs,\
2274,mixeur,fre-30-03272940-n,03277851-n,synonym,\N,\N,\N,\N,\N,\N,mixeurs,\
2274,mixeur,fre-30-03775199-n,03780732-n,synonym,\N,\N,\N,\N,\N,\N,mixeurs,\
2274,mixeur_plongeant,fre-30-03272940-n,03277851-n,synonym,\N,\N,\N,\N,\N,\N,mixeurs_plongeants,\
2274,mixeur_plongeant,fre-30-03775199-n,03780732-n,synonym,\N,\N,\N,\N,\N,\N,mixeurs_plongeants,\
2275,bébé,fre-30-09827683-n,09846929-n,synonym,\N,\N,\N,\N,\N,\N,bébés,\
2275,nourisson,fre-30-09827683-n,09846929-n,synonym,\N,\N,\N,\N,\N,\N,nourissons,\
2276,boire,fre-30-01170052-v,01172332-v,synonym,\N,\N,\N,\N,\N,\N,\N,
2277,bicyclette,fre-30-02834778-n,02837983-n,synonym,\N,\N,\N,\N,\N,\N,bicyclettes,\
2277,vélo,fre-30-02834778-n,02837983-n,synonym,\N,\N,\N,\N,\N,\N,vélos,\
2278,bidet,fre-30-02836174-n,02839379-n,synonym,\N,\N,\N,\N,\N,\N,bidets,\
2279,bikini,fre-30-02837789-n,02841003-n,synonym,\N,\N,\N,\N,\N,\N,bikinis,\
2279,maillot_de_bain_2_pièces,fre-30-02837789-n,02841003-n,synonym,\N,\N,\N,\N,\N,\N,maillots_bain_2_pièces,\
2280,blouse,fre-30-02854926-n,02858206-n,synonym,\N,\N,\N,\N,\N,\N,blouses,\
2280,chemisier,fre-30-02854926-n,02858206-n,synonym,\N,\N,\N,\N,\N,\N,chemisiers,\
2280,corsage,fre-30-02854926-n,02858206-n,synonym,\N,\N,\N,\N,\N,\N,corsages,\
2281,sandwich,fre-30-07695965-n,07711710-n,synonym,\N,\N,\N,\N,\N,\N,sandwichs,\
2282,bic,fre-30-02783161-n,02786184-n,synonym,\N,\N,\N,\N,\N,\N,bics,\
2282,stylo,fre-30-02783161-n,02786184-n,synonym,\N,\N,\N,\N,\N,\N,stylos,\
2282,stylo-bille,fre-30-02783161-n,02786184-n,synonym,\N,\N,\N,\N,\N,\N,stylos-bille,\
2283,bowling,fre-30-00462804-n,00463865-n,synonym,\N,\N,\N,\N,\N,\N,bowlings,\
2283,jeu_de_quilles,fre-30-00462804-n,00463865-n,synonym,\N,\N,\N,\N,\N,\N,jeux_de_quilles,\
2283,quilles,fre-30-00462804-n,00463865-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2283,quilles_de_bowling,fre-30-00462804-n,00463865-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2284,sac,fre-30-02774152-n,02777157-n,synonym,\N,\N,\N,\N,\N,\N,sacs,\
2284,sac_à_main,fre-30-02774152-n,02777157-n,synonym,\N,\N,\N,\N,\N,\N,sacs_à_main,\
2285,ampoule,fre-30-03665924-n,03671250-n,synonym,\N,\N,\N,\N,\N,\N,ampoules,\
2285,ampoule_électriques,fre-30-03665924-n,03671250-n,synonym,\N,\N,\N,\N,\N,\N,ampoules_électriques,\
2285,lumière_électrique,fre-30-03665924-n,03671250-n,synonym,\N,\N,\N,\N,\N,\N,lumières_électriques,\
2286,effacer,fre-30-01548718-v,01551500-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2286,effacer,fre-30-01548718-v,01551500-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2286,gommer,fre-30-01548718-v,01551500-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2287,bottes,fre-30-04116294-n,04123388-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2287,bottes,fre-30-02872752-n,02876113-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2287,bottes_en_caoutchouc,fre-30-02872752-n,02876113-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2287,bottes_en_caoutchouc,fre-30-04116294-n,04123388-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2288,bouteille,fre-30-02876657-n,02879899-n,synonym,\N,\N,\N,\N,\N,\N,bouteilles,\
2289,culotte,fre-30-03885028-n,03890725-n,synonym,\N,\N,\N,\N,\N,\N,culottes,\
2289,culotte,fre-30-02854739-n,02857998-n,synonym,\N,\N,\N,\N,\N,\N,culottes,\
2289,slip,fre-30-02854739-n,02857998-n,synonym,\N,\N,\N,\N,\N,\N,slips,\
2289,slip,fre-30-03885028-n,03890725-n,synonym,\N,\N,\N,\N,\N,\N,slips,\
2290,écharpe,fre-30-04143897-n,04150962-n,synonym,\N,\N,\N,\N,\N,\N,écharpes,\
2291,âne,fre-30-02389559-n,02392211-n,synonym,\N,\N,\N,\N,\N,\N,ânes,\
2291,âne,fre-30-02389346-n,02391998-n,synonym,\N,\N,\N,\N,\N,\N,ânes,\
2292,boîte_à_lettres,fre-30-03989074-n,03995432-n,synonym,\N,\N,\N,\N,\N,\N,boîtes_à_lettres,\
2293,boîte_à_lettres_2,fre-30-03989074-n,03995432-n,synonym,\N,\N,\N,\N,\N,\N,boîtes_à_lettres,\
2293,boîte_aux_lettres,fre-30-03989074-n,03995432-n,synonym,\N,\N,\N,\N,\N,\N,boîtes_aux_lettres,\
2294,cheval,fre-30-02374451-n,02377103-n,synonym,\N,\N,\N,\N,\N,\N,chevaux,\
2295,chèvre,fre-30-02416519-n,02419165-n,synonym,\N,\N,\N,\N,\N,\N,chèvres,\
2295,chèvre,fre-30-02417070-n,02419716-n,synonym,\N,\N,\N,\N,\N,\N,chèvres,\
2295,chèvre,fre-30-02417534-n,02420180-n,synonym,\N,\N,\N,\N,\N,\N,chèvres,\
2295,chèvre,fre-30-02416880-n,02419526-n,synonym,\N,\N,\N,\N,\N,\N,chèvres,\
2296,café,fre-30-07929519-n,07945759-n,synonym,\N,\N,\N,\N,\N,\N,cafés,\
2297,cafetière,fre-30-03063338-n,03067341-n,synonym,\N,\N,\N,\N,\N,\N,cafetières,\
2297,cafetière_italienne,fre-30-03063338-n,03067341-n,synonym,\N,\N,\N,\N,\N,\N,cafetières_italiennes,\
2298,chaussettes,fre-30-04254777-n,04261887-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2299,avenue,fre-30-04334599-n,04341737-n,synonym,\N,\N,\N,\N,\N,\N,Avenues,\
2299,avenue,fre-30-04335209-n,04342347-n,synonym,\N,\N,\N,\N,\N,\N,Avenues,\
2299,avenue,fre-30-02763472-n,02766477-n,synonym,\N,\N,\N,\N,\N,\N,Avenues,\
2299,boulevard,fre-30-02763472-n,02766477-n,synonym,\N,\N,\N,\N,\N,\N,Boulevards,\
2299,boulevard,fre-30-04334599-n,04341737-n,synonym,\N,\N,\N,\N,\N,\N,Boulevards,\
2299,boulevard,fre-30-04335209-n,04342347-n,synonym,\N,\N,\N,\N,\N,\N,Boulevards,\
2299,rue,fre-30-04335209-n,04342347-n,synonym,\N,\N,\N,\N,\N,\N,Rues,\
2299,rue,fre-30-02763472-n,02766477-n,synonym,\N,\N,\N,\N,\N,\N,Rues,\
2299,rue,fre-30-04334599-n,04341737-n,synonym,\N,\N,\N,\N,\N,\N,Rues,\
2300,chaud,fre-30-01247240-a,01250274-a,synonym,\N,\N,\N,\N,\N,\N,\N,\
2300,suant,fre-30-01247240-a,01250274-a,synonym,\N,\N,\N,\N,\N,\N,\N,\
2302,chaussée,fre-30-04097527-n,04104621-n,synonym,\N,\N,\N,\N,\N,\N,chaussées,\
2302,chaussée,fre-30-04096066-n,04103160-n,synonym,\N,\N,\N,\N,\N,\N,chaussées,\
2302,revêtement,fre-30-04097527-n,04104621-n,synonym,\N,\N,\N,\N,\N,\N,revêtements,\
2302,revêtement,fre-30-04096066-n,04103160-n,synonym,\N,\N,\N,\N,\N,\N,revêtements,\
2302,route,fre-30-04096066-n,04103160-n,synonym,\N,\N,\N,\N,\N,\N,routes,\
2302,route,fre-30-04097527-n,04104621-n,synonym,\N,\N,\N,\N,\N,\N,routes,\
2303,caleçon,fre-30-04508489-n,04515784-n,synonym,\N,\N,\N,\N,\N,\N,caleçons,\
2303,slip_2,fre-30-04508489-n,04515784-n,synonym,\N,\N,\N,\N,\N,\N,slips,\
2304,lit,fre-30-02818832-n,02821967-n,synonym,\N,\N,\N,\N,\N,\N,lits,\
2305,dromadaire,fre-30-02437312-n,02439943-n,synonym,\N,\N,\N,\N,\N,\N,Dromadaires,\
2306,camion,fre-30-03690473-n,03695799-n,synonym,\N,\N,\N,\N,\N,\N,camions,\
2307,camion_pour_enfants,fre-30-03769235-n,03774770-n,synonym,\N,\N,\N,\N,\N,\N,camions_pour_enfants,\
2307,camion_pour_enfants,fre-30-04462102-n,04469337-n,synonym,\N,\N,\N,\N,\N,\N,camions_pour_enfants,\
2307,camion_pour_enfants,fre-30-03964744-n,03971038-n,synonym,\N,\N,\N,\N,\N,\N,camions_pour_enfants,\
2308,chemise,fre-30-04197391-n,04204434-n,synonym,\N,\N,\N,\N,\N,\N,chemises,\
2308,chemise,fre-30-03238879-n,03243582-n,synonym,\N,\N,\N,\N,\N,\N,chemises,\
2308,chemisette,fre-30-03238879-n,03243582-n,synonym,\N,\N,\N,\N,\N,\N,chemisettes,\
2308,chemisette,fre-30-04197391-n,04204434-n,synonym,\N,\N,\N,\N,\N,\N,chemisettes,\
2309,tee-shirt,fre-30-03595614-n,03600807-n,synonym,\N,\N,\N,\N,\N,\N,tee-shirts,\
2309,T-shirt,fre-30-03595614-n,03600807-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2310,maillot_de_corps,fre-30-04223299-n,04230374-n,synonym,\N,\N,\N,\N,\N,\N,maillots_de_corps,\
2310,tee-shirt_2,fre-30-04223299-n,04230374-n,synonym,\N,\N,\N,\N,\N,\N,tee-shirts,\
2310,T-shirt_2,fre-30-04223299-n,04230374-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2311,chemise_de_nuit,fre-30-03824381-n,03829921-n,synonym,\N,\N,\N,\N,\N,\N,chemises_de_nuit,\
2311,nuisette,fre-30-03824381-n,03829921-n,synonym,\N,\N,\N,\N,\N,\N,nuisettes,\
2312,crabe,fre-30-01976957-n,01979598-n,synonym,\N,\N,\N,\N,\N,\N,crabes,\
2312,crabe,fre-30-01978930-n,01981571-n,synonym,\N,\N,\N,\N,\N,\N,crabes,\
2312,crabe,fre-30-07787980-n,07803956-n,synonym,\N,\N,\N,\N,\N,\N,crabes,\
2313,kangourou,fre-30-01877134-n,01879775-n,synonym,\N,\N,\N,\N,\N,\N,kangourous,\
2313,kangourou,fre-30-01877812-n,01880453-n,synonym,\N,\N,\N,\N,\N,\N,kangourous,\
2313,wallaby,fre-30-01877812-n,01880453-n,synonym,\N,\N,\N,\N,\N,\N,Wallabies,\
2313,wallaby,fre-30-01877134-n,01879775-n,synonym,\N,\N,\N,\N,\N,\N,Wallabies,\
2314,épuisé,fre-30-02433451-a,02442263-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2314,épuisé,fre-30-02431728-a,02440540-a,synonym,\N,\N,\N,\N,\N,\N,\N,\
2314,exténué,fre-30-02433451-a,02442263-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2314,exténué,fre-30-02431728-a,02440540-a,synonym,\N,\N,\N,\N,\N,\N,\N,\
2314,fatigué,fre-30-02431728-a,02440540-a,synonym,\N,\N,\N,\N,\N,\N,\N,\
2314,fatigué,fre-30-02433451-a,02442263-s,synonym,\N,\N,\N,\N,\N,\N,\N,\
2315,chanter,fre-30-01729431-v,01733312-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2316,viande,fre-30-07649854-n,07665463-n,synonym,\N,\N,\N,\N,\N,\N,viandes,\
2317,maison,fre-30-03544360-n,03549540-n,synonym,\N,\N,\N,\N,\N,\N,maisons,\
2317,maison,fre-30-08078020-n,08094856-n,synonym,\N,\N,\N,\N,\N,\N,maisons,\
2318,castagnettes,fre-30-02869249-n,02872589-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2319,blouson,fre-30-03589791-n,03594978-n,synonym,\N,\N,\N,\N,\N,\N,blousons,\
2319,manteau_2,fre-30-03589791-n,03594978-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2319,veste,fre-30-03589791-n,03594978-n,synonym,\N,\N,\N,\N,\N,\N,vestes,\
2320,louche,fre-30-03633091-n,03638382-n,synonym,\N,\N,\N,\N,\N,\N,louches,\
2320,louche,fre-30-04263336-n,04270446-n,synonym,\N,\N,\N,\N,\N,\N,louches,\
2322,CD,fre-30-02988679-n,02992134-n,synonym,\N,\N,\N,\N,\N,\N,CDs,\
2322,CD,fre-30-03079230-n,03083234-n,synonym,\N,\N,\N,\N,\N,\N,CDs,\
2322,CD-ROM,fre-30-03079230-n,03083234-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2322,CD-ROM,fre-30-02988679-n,02992134-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2323,ognon,fre-30-12433081-n,12453586-n,synonym,\N,\N,\N,\N,\N,\N,ognons,\
2323,ognon,fre-30-07722217-n,07737962-n,synonym,\N,\N,\N,\N,\N,\N,ognons,\
2323,oignon,fre-30-07722217-n,07737962-n,synonym,\N,\N,\N,\N,\N,\N,oignons,\
2323,oignon,fre-30-12433081-n,12453586-n,synonym,\N,\N,\N,\N,\N,\N,oignons,\
2324,zèbre,fre-30-02391049-n,02393701-n,synonym,\N,\N,\N,\N,\N,\N,zèbres,\
2325,rouleau_de_scotch,fre-30-02992795-n,02996250-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2325,ruban_adhésif,fre-30-02992795-n,02996250-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2325,scotch,fre-30-02992795-n,02996250-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2326,se_brosser_les_dents,fre-30-01243982-v,01246546-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2326,se_laver_les_dents,fre-30-01243982-v,01246546-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2327,cochon,fre-30-02395406-n,02398058-n,synonym,\N,\N,\N,\N,\N,\N,cochons,\
2327,goret,fre-30-02395406-n,02398058-n,synonym,\N,\N,\N,\N,\N,\N,gorets,\
2327,porc,fre-30-02395406-n,02398058-n,synonym,\N,\N,\N,\N,\N,\N,porcs,\
2328,boîte_de_céréales,fre-30-02997910-n,03001517-n,synonym,\N,\N,\N,\N,\N,\N,boîtes_de_céréales,\
2328,boîte_de_céréales,fre-30-02998003-n,03001610-n,synonym,\N,\N,\N,\N,\N,\N,boîtes_de_céréales,\
2328,bol_de_céréales,fre-30-02997910-n,03001517-n,synonym,\N,\N,\N,\N,\N,\N,bols_de_céréales,\
2328,bol_de_céréales,fre-30-02998003-n,03001610-n,synonym,\N,\N,\N,\N,\N,\N,bols_de_céréales,\
2328,céréales,fre-30-02998003-n,03001610-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2328,céréales,fre-30-02997910-n,03001517-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2329,cerises,fre-30-07757132-n,07773108-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2329,cerises,fre-30-07757312-n,07773288-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2330,bière,fre-30-07886849-n,07902824-n,synonym,\N,\N,\N,\N,\N,\N,bières,\
2330,bière,fre-30-02823750-n,02826892-n,synonym,\N,\N,\N,\N,\N,\N,bières,\
2330,demi_de_bière,fre-30-02823750-n,02826892-n,synonym,\N,\N,\N,\N,\N,\N,demis_de_bière,\
2330,demi_de_bière,fre-30-07886849-n,07902824-n,synonym,\N,\N,\N,\N,\N,\N,demis_de_bière,\
2330,pinte,fre-30-02823750-n,02826892-n,synonym,\N,\N,\N,\N,\N,\N,pintes,\
2330,pinte,fre-30-07886849-n,07902824-n,synonym,\N,\N,\N,\N,\N,\N,pintes,\
2330,verre_de_bière,fre-30-02823750-n,02826892-n,synonym,\N,\N,\N,\N,\N,\N,verres_de_bière,\
2330,verre_de_bière,fre-30-07886849-n,07902824-n,synonym,\N,\N,\N,\N,\N,\N,verres_de_bière,\
2331,champignons,fre-30-07734744-n,07750720-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2331,champignons,fre-30-13000891-n,13021651-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2331,champignons,fre-30-13001529-n,13022289-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2332,jogging,fre-30-04350905-n,04357983-n,synonym,\N,\N,\N,\N,\N,\N,joggings,\
2332,survêtement,fre-30-04350905-n,04357983-n,synonym,\N,\N,\N,\N,\N,\N,survêtements,\
2333,cheminée,fre-30-03017428-n,03021082-n,synonym,\N,\N,\N,\N,\N,\N,cheminées,\
2334,carré_de_chocolat,fre-30-07603511-n,07619120-n,synonym,\N,\N,\N,\N,\N,\N,carrés_de_chocolat,\
2334,carré_de_chocolat,fre-30-07601999-n,07617570-n,synonym,\N,\N,\N,\N,\N,\N,carrés_de_chocolat,\
2334,chocolat,fre-30-07601999-n,07617570-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2334,chocolat,fre-30-07603511-n,07619120-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2334,tablette_de_chocolat,fre-30-07603511-n,07619120-n,synonym,\N,\N,\N,\N,\N,\N,tablettes_de_chocolat,\
2334,tablette_de_chocolat,fre-30-07601999-n,07617570-n,synonym,\N,\N,\N,\N,\N,\N,tablettes_de_chocolat,\
2335,chorizo,fre-30-07676520-n,07692265-n,synonym,\N,\N,\N,\N,\N,\N,chorizos,\
2336,ceinture,fre-30-02827606-n,02830790-n,synonym,\N,\N,\N,\N,\N,\N,ceintures,\
2337,cygne,fre-30-01858441-n,01861082-n,synonym,\N,\N,\N,\N,\N,\N,cygnes,\
2338,Coca-Cola,fre-30-07928696-n,07944936-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2338,Coca-Cola,fre-30-07927931-n,07944171-n,synonym,\N,\N,\N,\N,\N,\N,\N,\
2339,automobile,fre-30-04524313-n,04531608-n,synonym,\N,\N,\N,\N,\N,\N,automobiles,\
2339,automobile,fre-30-02958343-n,02961779-n,synonym,\N,\N,\N,\N,\N,\N,automobiles,\
2339,voiture,fre-30-02958343-n,02961779-n,synonym,\N,\N,\N,\N,\N,\N,voitures,\
2339,voiture,fre-30-04524313-n,04531608-n,synonym,\N,\N,\N,\N,\N,\N,voitures,\
2340,petite_voiture,fre-30-02958343-n,02961779-n,synonym,\N,\N,\N,\N,\N,\N,petites_voitures,\
2340,voiture_pour_enfants,fre-30-02958343-n,02961779-n,synonym,\N,\N,\N,\N,\N,\N,voitures_pour_enfants,\
2341,cuisinière,fre-30-04330340-n,04337478-n,synonym,\N,\N,\N,\N,\N,\N,cuisinières,\
2341,cuisinière,fre-30-03425595-n,03430505-n,synonym,\N,\N,\N,\N,\N,\N,cuisinières,\
2341,cuisinière_à_gaz,fre-30-03425595-n,03430505-n,synonym,\N,\N,\N,\N,\N,\N,cuisinières_à_gaz,\
2341,cuisinière_à_gaz,fre-30-04330340-n,04337478-n,synonym,\N,\N,\N,\N,\N,\N,cuisinières_à_gaz,\
2341,gazinière,fre-30-03425595-n,03430505-n,synonym,\N,\N,\N,\N,\N,\N,gazinières,\
2341,gazinière,fre-30-04330340-n,04337478-n,synonym,\N,\N,\N,\N,\N,\N,gazinières,\
2342,cuisiner,fre-30-01664172-v,01668067-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
2342,cuisiner,fre-30-00323856-v,00324657-v,synonym,\N,\N,\N,\N,\N,\N,\N,\
